,cached_download_latency@client,cached_download_time@client,cpu@cache,cpu_limit,disk_node@cache,disk_write_speed@cache,failed_reqs_per_sec@client,filesize@client,iowait_node_23@cache,iowait_node_23_perc@cache,mem@cache,non_cached_download_latency@client,non_cached_download_time@client,rx_bitrate_cadv@cache:server,tasks_uninterruptible_cadv@cache,tcp_established_cadv@cache,tx_bitrate_cadv@cache:client,tx_packet_size_cadv@cache:client,vcdn_users@client,wl_cachedperc,wl_filesize,wl_ratelimit
0,0.012145163849282804,0.045266657340817334,48.48294771929827,100,0.15599999999903957,3840000.0,0.0,3.145728,0.0,0.0,177.606656,0.023056521823963397,0.08087211847305298,50.457263999999995,0.0,0.0,549.1570486215537,4229.098374817774,10.0,90,3000,1000
1,0.07162705093185281,0.25599987181435957,50.61780254999988,100,0.3070000000006985,9342976.0,0.0,3.145728,0.01749999999992724,3.4926470588214125,179.15904,0.07627880924073524,0.2695755809545517,78.60908599999999,0.0,0.0,871.0080820000001,10574.74621444649,25.0,90,3000,1000
2,0.14908701737240204,0.5169285686096077,51.70958489999968,100,0.2929999999996653,7421952.0,0.0,3.145728,0.03250000000025466,6.206293706361025,180.70528,0.1574952856152257,0.5410399777548653,88.2981,0.0,0.0,930.780596,6222.303393544959,35.0,90,3000,1000
3,0.2821163829384588,0.9250401188345516,65.71467169999892,100,0.2640000000028522,9089024.0,0.0,3.145728,0.039999999999054126,22.807017543904436,180.690944,0.2921516645174437,0.9534094452857971,88.53305999999999,0.0,1.0,870.681976,3877.5750802403095,50.0,90,3000,1000
4,0.5042908065316427,1.609362007966682,82.04931499999901,100,0.27200000000084407,6668288.0,0.0,3.145728,0.040000000000873115,100.0,184.029184,0.5242504267398473,1.6662349019731795,80.25764323809523,0.0,5.0,852.5633455733333,3569.2051055184443,75.0,90,3000,1000
5,0.7148487470300939,2.2643391897803857,83.01299950000072,100,0.26900000000023283,5453824.0,0.0,3.145728,0.005003755633559396,100.0,189.730816,0.7294562033684989,2.309382677078247,89.290156,0.0,8.0,852.501912,3849.7270394725665,100.0,90,3000,1000
6,0.9305586677892344,2.9382574476978998,83.9663084916675,100,0.26600000000325963,6516736.0,0.0,3.145728,0.005000000000109139,100.0,192.872448,0.9569553732120518,3.017032188448039,83.19517400000001,0.0,10.0,861.7518419200001,3627.510672589615,125.0,90,3000,1000
7,1.2053410437942587,3.7955678387692102,86.86150835000035,100,0.29799999999886495,8710144.0,0.0,3.145728,0.09499999999934516,100.0,201.773056,1.2328722916101182,3.88845591204507,85.050192,0.0,13.0,838.648904,3904.563267471158,150.0,90,3000,1000
8,1.4138568784462449,4.448705669762432,85.20928209999852,100,0.3178441558452755,9552896.0,0.0,3.145728,0.09000000000014552,100.0,206.350336,1.4413570895887031,4.53977645881445,83.708738,0.0,15.0,879.1080037706666,3482.164918651178,175.0,90,3000,1000
9,1.6463059421031092,5.181510932681035,83.07455622500015,100,0.30799999999908323,5895168.0,0.0,3.145728,0.08249999999998181,100.0,214.60172799999998,1.6966095419739067,5.345801293849945,83.91547399999999,0.0,18.0,821.5438099999999,3431.278223250857,200.0,90,3000,1000
10,0.013362775789037645,0.015188857913017273,19.591541400000025,100,0.1040000000011787,858112.0,0.0,1.048576,0.0,0.0,72.685568,0.0236901096597035,0.025718116760253904,21.057524,0.0,0.0,190.809544,4477.82867494824,10.0,90,1000,1000
11,0.015549199396542989,0.01949323201390657,42.70967167499995,100,0.17799999999988358,2234368.0,0.0,1.048576,0.0,0.0,75.61216,0.028735839367332504,0.03433133401567974,46.340492,0.0,0.0,456.09412199999997,4321.984676397428,25.0,90,1000,1000
12,0.018726795260768862,0.02677521594987857,54.450851649999876,100,0.22400000000016007,4445184.0,0.0,1.048576,0.005000000000109139,3.945806962138429,76.273664,0.03446525275941759,0.043910688314682395,63.17075892353823,0.0,0.0,605.6033742444889,4358.4785424719175,35.0,90,1000,1000
13,0.028784562617718133,0.05015330996745915,72.6529546750001,100,0.2040000000015425,5604352.0,0.0,1.048576,0.03250000000025466,14.109848485149014,79.372288,0.0543716632288648,0.07743828805538977,82.634592,0.0,0.0,857.501786,4255.809477408012,50.0,90,1000,1000
14,0.17640069290460814,0.26256613552644037,61.39235569530079,100,0.2430000000003929,4742144.0,0.0,1.048576,0.08500000000003638,28.220140514245543,82.558976,0.2040782119274393,0.27702355952489943,80.185456,0.0,0.0,820.3164293386667,4428.094418604651,75.0,90,1000,1000
15,0.3940071345697176,0.4911674122725214,75.54166564999889,100,0.29799999999886495,5441536.0,0.0,1.048576,0.08500000000003638,71.42857143181962,84.144128,0.46383218304240365,0.538642406463623,84.19279999999999,0.0,4.0,822.134364,3799.482102076584,100.0,90,1000,1000
16,0.5698971836463003,0.7254724336224934,83.78309819999856,100,0.29200000000128057,6952960.000000001,0.0,1.048576,0.0749999999998181,96.94055943779911,88.301568,0.6544155709023278,0.8121461123228073,89.46923199999999,0.0,6.0,856.5961279999999,3911.154811782647,125.0,90,1000,1000
17,0.8957046441524841,1.008172514792819,79.88917415000003,100,0.3100000000013097,6424576.0,0.0,1.048576,0.10500000000001819,100.0,93.550592,0.9914443703884663,1.1071086104099566,91.76612,0.0,7.0,864.247468,3786.3003006861813,150.0,90,1000,1000
18,1.1088359141296213,1.2210794214920773,79.7848874500005,100,0.3680000000022119,7219200.0,0.0,1.048576,0.08499999999958163,100.0,97.57081600000001,1.2279507580955413,1.3313887155653346,85.06779,0.0,11.0,841.493978,3788.662019821443,175.0,90,1000,1000
19,1.3485820318471682,1.476547357052733,79.50274584999875,100,0.36999999999898137,9603072.0,0.0,1.048576,0.11500000000069122,100.0,98.557952,1.4846163129764187,1.6250696447160509,86.291084,0.0,13.0,809.38254,3825.8405519387243,200.0,90,1000,1000
20,0.034200233397222043,0.3384721279144287,34.349517690678084,100,0.6620000000002619,20457526.303030305,0.0,3.145728,0.3312499999992724,60.156249999519275,180.07859200000001,0.06490736600174009,0.5084180951118469,231.45731,0.0,1.0,258.88108868266664,4158.187505385609,10.0,10,3000,1000
21,0.310413536016817,1.2256121039390564,42.993627965138124,100,0.7220000000015716,26499625.861635223,0.0,3.145728,0.464999999999236,97.72727272951201,173.93664,0.1710628119572889,1.3326887573514665,303.02053615705285,2.0,13.0,321.75941852261303,4161.342920421052,25.0,10,3000,1000
22,0.6411064985279393,2.0178804993629456,35.89946933519359,100,0.7169598633649419,14364788.036157366,0.0,3.145728,0.47750000000041837,100.0,188.502016,0.4409711640499274,2.065103697054314,285.4385131579976,1.0,14.0,256.01159164766403,4153.933033673625,35.0,10,3000,1000
23,0.5012619001299766,2.1105704307556152,46.82466049098654,100,0.7889999999988504,4872316.320117881,0.0,3.145728,0.2925000000000182,100.0,213.454848,0.6933166211445694,2.8637329902397055,411.467705733882,1.0,34.0,491.87998289684657,4157.878364607928,50.0,10,3000,1000
24,1.1338993380862614,4.082017242908478,30.12579607500001,100,0.934000000001106,21459209.653092008,0.0,3.145728,0.3949999999999818,100.0,272.048128,1.340903486301427,4.3096588899691906,254.86737599999998,2.0,25.0,234.48213486759002,4153.536952068433,75.0,10,3000,1000
25,2.0872044453280276,6.5659239292144775,32.95555119999989,100,0.5689066666665652,27004928.0,0.0,3.145728,0.31791666666699714,100.0,246.235136,2.0971182450146886,6.646464122763646,308.068272,2.0,62.0,329.96363199999996,4149.641064262947,100.0,10,3000,1000
26,2.0041105053010027,6.478064775466919,44.23701116515403,100,0.9963310232351681,8654289.890058478,0.0,3.145728,0.36000000000058213,100.0,269.400064,2.1116314391237987,7.081058103211072,269.0449872169811,0.0,114.0,316.880343827636,4146.023063124627,125.0,10,3000,1000
27,2.0088321654206327,6.341854715347289,43.35031200000117,100,1.0,25977856.0,0.0,3.145728,0.23000000000047294,100.0,326.926336,2.164211026590254,6.8186997175216675,390.483014,1.0,83.0,343.01183239189936,4151.343504344229,150.0,10,3000,1000
28,2.3907716353657715,7.501573610305786,74.08559428339932,100,1.0,24414208.0,0.0,3.145728,0.10250000000041837,100.0,490.68032,2.4629358934730967,7.747719645500183,466.38389495466663,0.0,153.0,455.8953257493333,4150.125465058266,175.0,10,3000,1000
29,3.01362399134005,9.555174589157104,61.8309070685897,100,1.0,29967583.07611549,0.0,3.145728,0.3000000000001819,100.0,530.466816,3.053885365342717,9.629835740583284,437.36480206474187,1.0,131.0,331.219768,4140.893668347997,200.0,10,3000,1000
30,0.018676425786067315,0.028700947761535645,24.664294899999994,100,0.5020000000004075,14393344.0,0.0,1.048576,0.1625000000003638,24.832310546587014,77.27923200000001,0.038435311403819866,0.12203028031757901,129.37347599999998,0.0,0.0,146.53409399999998,4163.187477829018,10.0,10,1000,1000
31,0.04023658548955662,0.2577165535518101,32.42920249999983,100,0.5730000000003201,14759936.0,0.0,1.048576,0.3975000000000364,62.09552273122114,85.31968,0.10287454243986013,0.49054088958019454,199.289514,0.0,1.0,221.675156,4150.755371321812,25.0,10,1000,1000
32,0.1175978453492161,0.4239268799622854,37.348696725000075,100,0.7079999999987194,15828992.0,0.0,1.048576,0.4620244773074773,80.32654706772969,92.565504,0.16326577510271512,0.5855175813405378,231.97879301021354,2.0,2.0,261.397816,4138.509294796617,35.0,10,1000,1000
33,0.261663136937625,0.5785535895635211,43.185984099999786,100,0.7309999999997672,14171503.253523923,0.0,1.048576,0.4650000000001455,87.90765686119042,95.60064,0.1904284194494286,0.7187965512275696,287.6686652631579,0.0,10.0,322.111208,4141.171799943487,50.0,10,1000,1000
34,0.9883106021097334,1.1986897230148315,39.81361654020061,100,0.7759999999980209,16080896.0,0.0,1.048576,0.47999999999956344,99.12280701673485,118.030336,0.7366671671910808,1.3943279176144987,279.81497226485055,0.0,15.0,290.8529258753979,4142.702643302643,75.0,10,1000,1000
35,1.645647180924097,1.891069009900093,34.66341587517303,100,0.91531348261088,12460062.073421437,0.0,1.048576,0.4500000000007276,100.0,126.734336,1.6453645745033418,2.000680878355696,195.1433183852663,2.0,42.0,235.90210765067178,4140.585531789928,100.0,10,1000,1000
36,2.680884980754339,2.918398161729177,31.162480000000414,100,0.955999999998312,14486579.00871731,0.0,1.048576,0.46999999999934516,100.0,139.79648,2.4743970507360147,3.0015865154673245,183.41052821670428,1.0,56.0,223.749868,4137.477398395327,125.0,10,1000,1000
37,2.8879262468066202,3.0565589666366577,34.09145946180945,100,0.9959999999991852,2805.76,0.0,1.048576,0.4424999999996544,100.0,163.258368,2.9998184152469918,3.239726450385117,192.51133820411383,1.0,90.0,225.7780657444294,4129.894056864573,150.0,10,1000,1000
38,3.113005201831692,3.29440298947421,22.112883741668554,100,1.0,0.0,0.0,1.048576,0.4499999999998181,100.0,197.69958400000002,3.201839281663574,3.361031142452307,192.34792997624805,1.0,88.0,219.3917669016476,4133.1883344984735,175.0,10,1000,1000
39,3.692508158220483,3.8528599398476735,46.846555199999784,100,0.9770000000007713,11411699.52436647,0.0,1.048576,0.3350000000000364,100.0,199.790592,3.819126003858449,4.02721977863915,320.89147199999996,1.0,121.0,331.25037368094354,4128.677176992967,200.0,10,1000,1000
